Nama,Alamat,Latitude,Longitude
Markoni Motor Pamanukan,Jl. Eyang Tirtapraja 49,-6.285793,107.820206
Dealer Motor Honda Karya Perdana,Jl. Jend. Sudirman 153-155,-6.336243,108.335268
Cv Anugrah Sejahtera,Jl. Raya Pajajaran 123 A-B,-6.57358,106.808569
Mulia Motor,Jl. Mayor Dasuki 191 RT 23/03,-6.471535,108.302546
Honda Daya Motor Ciranjang,Jl. Raya Ciranjang 98,-6.807836,107.154995
Honda Daya Motor,Jl. Mayor Oking 78 A,-6.485794,106.875265
Dealer Honda Daya Motor Sawangan Depok,Jl. Raya Parung 99 C,-6.422834,106.731586
Dealer Honda Daya Motor Tole Iskandar Depok,Jl. Akses UI 13-14,-6.402202,106.832108
Dealer Honda Daya Motor Kuningan,Jl. Siliwangi 6,-6.973973,108.484689
Dealer Honda Daya Motor Karawang,Jl. Kertabumi 75,-6.300858,107.292494
Daya Motor,Jl. Raya Cibeber,-6.821466,107.138546
Daya Motor,Jl. Kadupugur,-6.901754,106.847459
"Honda Wijaya Abadi Mulia, PT",Jl. Gegerkalong Hilir 50A,-6.869401,107.589501
Dealer Honda Daya Motor Citayam Depok,Jl Citayam Raya 14-C Rt 001/002,-6.434044,106.809014
Tunas Dwipa Matra,Jl. Raya Bogor KM 38 RT 05/01,-6.445196,106.870033
Pd Lima Motor,Jl. Letjen Suprapto 4-6,-6.567619,107.756777
Dealer Honda Sumber Rejeki Sumedang,Jl. Mayor Abdulrahman 123,-6.841842,107.925223
PT. Murni Motor - Siliwangi,Jl. Siliwangi 14,-6.61172,106.806646
Honda Berdikari Motor I,Blok Cijati Kulon,-6.731619,108.262742
Cv. Sinarmas Motor Tasikmalaya,JL. KHZ. MUSTOFA 294,-7.33837,108.21793
Honda Sinar Abadi,Jl. Karanggetas 33,-6.714923,108.563112
PT Selamat Lestari Mandiri (selamat Motor Honda) Kota Sukabumi,Jl. Jend. Sudirman 76,-6.919093,106.917335
Honda Aceh Motor,JL. ACEH 25,-6.910041,107.607429
Fortuna Motor,Jl. Veteran 47-49,-6.537201,107.444214
Honda Merdeka Motor,Jl. Ir. H. Juanda 157,-6.247301,107.011206
Setia Kawan Motor,Jl. Karanggetas 184,-6.718213,108.56485
Dealer Honda Berdikari Motor Jatiwangi Majalengka,Jl. Ahmad Yani Blok I,-6.73155,108.262678
Pd. Lima Motor,Jl. Raya Ciledug 190,-7.225986,107.906468
Honda Daya Motor Kalimalang,Jl. Ruko Bsk Blok 1-3,-6.247225,106.977629
