Nama,Alamat,Wilayah,Latitude,Longitude
Astra Motor Pekalongan,Jl. Gajah Mada No. 25 Pekalongan,"Kramatsari, Kota Pekalongan",-6.889022,109.661217
Marabunta Sakti Wonosobo,JL. KYAI MUNTANG NO. 31,"Kejiwan, Kabupaten Wonosobo",-7.20298,109.90076
Nusantara Sakti Solo,Jl. Kol. Sutarto No. 153 RT.002 RW. 002 Kel. Jebre,"Kratonan, Kota Surakarta",-7.559482,110.838475
Sanjaya Motor Sumpiuh,JL. RAYA KEBOKURA-SUMPIUH RT 01/01,"Nusadadi, Kabupaten Banyumas",-7.61222,109.35722
Astra Motor Salatiga,Jl. Brigjend Sudiarto No. 20 - 21,"Kalicacing, Kota Salatiga",-7.331234,110.498956
Astra Motor Ngaliyan,Jl. Prof.Dr.Hamka Blok 1 NO.122,"Randu Garut, Kota Semarang",-6.990722,110.355571
Astra Motor Karanggading,JL. JENDRAL SUDIRMAN NO 251,"Kedungsari, Kota Magelang",-7.45639,110.22306
Kompo Motor Ajibarang,Jl. Raya Ajibarang No.6,"Ciberung, Kabupaten Banyumas",-7.425556,109.074167
Cendana Harum Demak,Ds. Mranak RT.03 RW.01 Wonosalam,"Doreng, Kabupaten Demak",-6.885868,110.565884
Astra Motor Gombong (kebumen 2),Jl Yos Sudarso No 235 B RT 004,"Gombong, Kabupaten Kebumen",-7.608333,109.509722
Astra Motor Siliwangi,Jl. Jend. Sudirman 320 B Semarang,"Salaman Mloyo, Kota Semarang",-6.983137,110.391164
Astra Motor Kudus,Jl. A. Yani Ruko Panjunan,"Panjunan, Kabupaten Kudus",-6.816304,110.838739
Dealer Honda Nusantara Sakti Bubakan,Jl. Cendrawasih No. 2,"PURWODINATAN, Kota Semarang",-6.969104,110.430358
Cv Wali Motor Demak,JL. PEMUDA NO. 984 RT.07 RW.06 BINTORO DEMAK,"Bintoro, Kabupaten Demak",-6.89639,110.64083
Laksana Motor Agus Darmawan Purwodadi,"Jl. R. Suprapto 120, Purwodadi","Kalongan, Kabupaten Grobogan",-7.095371,110.36286
Saudara Motor (tunggul Sakti),JL. TENTARA PELAJAR NO.12,"Temanggung I, Kabupaten Temanggung",-7.285,110.09306
Honda Nusantara Jaya Purwokerto,Jl. Gatot Subroto 41,"Purwokerto Lor, Kabupaten Banyumas",-7.423056,109.243056
Taruna Adiprima Motor Kudus,Jl. Jend. Sudirman 275-277,"Rendeng, Kabupaten Kudus",-6.803616,110.857126
Surya Motor Sragen,Jl. Raya Sukowati 285,"Sragen Tengah, Kabupaten Sragen",-7.426125,111.026876
Timbul Jaya Motor Kaliwingko,Jl. Brigjen Sudiarto 26,"Joyotakan, Kota Surakarta",-7.593512,110.822794
Muncul Jaya Motor Sugiono Jepara,Jl. Kol. Sugiono 59,"Kauman, Kabupaten Jepara",-6.591872,110.659839
Dealer Honda Ramayana Solo Mandiri,JL. GATOT SUBROTO 162,"Jayengan, Kota Surakarta",-7.63952,110.27392
Taruna Adiprima Motor Pati,Jl. Pemuda 305,"Pati Wetan, Kabupaten Pati",-6.75382,111.04709
Honda Naga Mas Motor Klaten Utara,Jl. Pemuda 2,"Bareng, Kabupaten Klaten",-7.69124,110.60361
Tunasjaya Honda Motor Magelang,"Jl. Jend. Sudirman No.199, Trunan","Tidar Selatan, Kota Magelang",-7.500278,110.223611
Muncul Jaya Sakti Pekalongan,Jl. Urip Sumoharjo 87,"Medono, Kota Pekalongan",-6.902268,109.664279
Dealer & Ahass Honda Mustika Jaya Abadi,Jl. Jend Sudirman 140,"Cabean, Kota Semarang",-6.980769,110.399569
Honda Naga Mas Motor Klaten Tengah,Jl. Pemuda 204,"Kabupaten, Kabupaten Klaten",-7.706986,110.599062
Timbul Jaya Motor Sukoharjo,Jl. Jend. Sudirman 167 Jombor,"Jombor, Kabupaten Sukoharjo",-7.672022,110.83874
"Dealer Honda Kendal & Ahass , Cendana Motor Cepiring Official",Jl. Raya No. 97 Cepiring,Kabupaten Kendal,-6.925535,110.153522
Dealer Honda Nusantara Sakti Cilacap,Jl. R.E. Martadinata 71 B,"Cilacap, Kabupaten Cilacap",-7.732778,109.003889
Kompo Motor Purbalingga,Jl. Jend. Sudirman 19,"Purbalingga Lor, Kabupaten Purbalingga",-7.388333,109.3575
Jaya Motor Welahan,Jl. Raya Welahan 45,"Subagan, Kabupaten Jepara",-6.784862,110.721424
Tunasjaya Honda Motor Muntilan,"Jl. Pemuda 87, Pucungrejo","Awo, Kabupaten Magelang",-7.585,110.287222
Honda Jaya Abadi Ungaran,Jl. Gatot Subroto 671 A Ungaran,"Ungaran, Kabupaten Semarang",-7.12635,110.40447
Ramayana Motor Sukoharjo,Jl. Jend. Sudirman No.128 Gayam,"Jombor, Kabupaten Sukoharjo",-7.670989,110.838859
Kurnia Kasih Dealer Motor Honda Karanganyar,Jl. Raya Lawu 356,"Karanganyar, Kabupaten Karanganyar",-7.595994,110.947906
Kurnia Kasih Dealer Motor Honda Sragen,Jl. Raya Sukowati 332,"Sragen Tengah, Kabupaten Sragen",-7.426918,111.025829
PT Kurnia Pratama Indoperkasa,Jl. KH. Mansyur 137,"Podosugih, Kota Pekalongan",-6.897053,109.665353
54 Motor Pekalongan,Jl. Dr. Wahidin 31,"Noyontaan, Kota Pekalongan",-6.893637,109.679872
Timbul Jaya Motors - Dealer & Ahass Resmi Honda,Jl. Honggowongso 78,"Kemlayan, Kota Surakarta",-7.571624,110.816913
Dealer Honda Nusantara Sakti Salatiga,Jl. Jend. Sudirman 92-93,"Kutowinangun, Kota Salatiga",-7.331614,110.505251
